Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-1034,SHRI DHARMASTHALA MANJUNATHESHWARA UNIVERSITY,Karnataka,Dharwad,www.sdmuniversity.edu.in,2018,Urban,sdmuniversity
U-1315,SAPTHAGIRI NPS UNIVERSITY,Karnataka,Bengaluru Urban,www.snpsu.edu.in,-,Urban,snpsu
U-1322,Hassan University,Karnataka,Hassan,www.hassanuniversity.ac.inhome.aspx,-,Rural,hassanuniversity
U-1014,INDIAN INSTITUTE OF MANAGEMENT BANGALORE,Karnataka,Bengaluru Urban,www.iimb.ac.in,1973,Urban,iimb
U-1328,Atria University,Karnataka,Bengaluru Urban,www.atriauniversity.edu.in,-,Urban,atriauniversity
U-0956,BENGALURU CITY UNIVERSITY,Karnataka,Bengaluru Urban,www.bcu.ac.in,2015,Urban,bcu
U-0931,JSS Science and Technology University,Karnataka,Mysuru,jssstuniv.in,1963,Urban,jssstuniv
U-1337,St. Aloysius,Karnataka,Dakshina Kannada,staloysius.edu.in,-,Urban,staloysius
U-0927,Sharnbasva University,Karnataka,Kalaburagi,www.sharnbasvauniversity.edu.in,2017,Urban,sharnbasvauniversity
U-0972,BENGALURU NORTH UNIVERSITY,Karnataka,Kolar,bnu.karnataka.gov.in,2017,Rural,bnu
U-0971,ADICHUNCHANAGIRI UNIVERSITY,Karnataka,Mandya,www.acu.edu.in,2018,Rural,acu
U-0918,Garden City University,Karnataka,Bengaluru Urban,www.gardencity.university ,2013,Urban,gardencity
U-0724,"M.S. RAMAIAH UNIVERSITY OF APPLIED SCIENCES, BANGALORE",Karnataka,Bengaluru Urban,www.msruas.ac.in,2013,Urban,msruas
U-0603,"Vijayanagara Sri Krishnadevaraya University, Bellary",Karnataka,Ballari,www.vskub.ac.in,1995,Urban,vskub
U-0899,"Indian Institute of Technology, Dharwad",Karnataka,Dharwad,www.iitdh.ac.in,2016,Urban,iitdh
